movie_id,Actor Name,Character Name,name,classification
975900,Natasha Henstridge,Lieutenant Melanie Ballard,Ballard,24
975900,Ice Cube,Desolation Williams,Williams,4
2238856,John Hawkes,Richard Swersey,Richard,16
2238856,Miranda July,Christine Jesperson,Christine,16
2238856,Miles Thompson,Peter Swersey,Peter,6
2238856,Brandon Ratcliff,Robby Swersey,Robby,3
2238856,Natasha Slayton,Heather,Heather,13
2238856,Najarra Townsend,Rebecca,Rebecca,13
156558,Taraji P. Henson,Yvette,Yvette,3
156558,Tyrese Gibson,Jody,Jody,6
156558,Snoop Dogg,Rodney,Rodney,17
156558,Ving Rhames,Melvin,Melvin,23
156558,Omar Gooding,Sweetpea,Sweetpea,17
9633533,Mohanlal,Unnikrishnan,Unnikrishnan,6
24029843,Ruby Lin,Lucy,Lucy,13
24029843,Zhang Ziyi,Sophie,Sophie,6
24029843,Fan Bing-Bing,Joanna,Joanna,13
16055450,Antonio Banderas,Marcos,Marcos,23
4951456,Peggy Lipton,Kathleen Crowe,Crowe,13
12053509,Kate Jackson,Diane Bodek,Bodek,6
12053509,Robert Ginty,Joe Bodek,Bodek,6
12053509,Nancy Valen,Jenny Gordon,Jenny,6
12053509,Dylan Walsh,Jory Talbot,Jory,16
12053509,Barbara Carrera,Alex Barnett,Barnett,6
12053509,Ray Girardin,Henry,Henry,16
12053509,Kim Miyori,Kyoko Bruckner,Bruckner,24
12053509,Robert Picardo,Dr. Reed Palmer,Palmer,22
12053509,Kirstie Alley,Dr. Joyce Palmer,Palmer,22
12053509,Pete Koch,Claude Delancy,Delancy,23
12053509,Carrie Fisher,Monica Delancy,Delancy,23
167857,Benicio del Toro,Fred Fenster,Fenster,8
167857,Kevin Spacey,Roger 'Verbal' Kint,Kint,10
167857,Dan Hedaya,Sgt. Jeffrey 'Jeff' Rabin,Rabin,18
167857,Giancarlo Esposito,Jack Baer,Baer,20
167857,Pete Postlethwaite,Kobayashi,Kobayashi,6
167857,Chazz Palminteri,Dave Kujan,Kujan,6
167857,Scott B. Morgan,Keyser Söze,Keyser,6
167857,Gabriel Byrne,Dean Keaton,Keaton,17
167857,Stephen Baldwin,Michael McManus,McManus,17
167857,Kevin Pollak,Todd Hockney,Hockney,16
1254263,Fred Doederlin,Emil Hobbes,Hobbes,13
31156641,Suresh Gopi,Ashok Nariman,Nariman,10
21209475,J. Carrol Naish,Commissioner of War Trotsky,Trotsky,20
5894429,Pete Postlethwaite,Quinlan,Quinlan,6
5894429,Christopher Plummer,Jack,Jack,6
5894429,Gregory Smith,Young Jack,Jack,6
5894429,Neve Campbell,Marie,Marie,13
27556929,David Suchet,Vlachos,Vlachos,17
