ID,Movie name,Movie languages,Movie countries,Movie genres,Movie release year,averageRating,numVotes,winner,nominated,Movie release era
1630107,A Zed & Two Noughts,English Language,United Kingdom,"['Experimental film', 'Comedy-drama', 'Surrealism', 'Drama', 'Black comedy', 'Tragicomedy', 'Avant-garde']",1985.0,7.2,7078,0,0,193.0
11717027,Is There a Doctor in the Mouse?,English Language,United States of America,"['Family Film', 'Comedy']",,6.5,478,0,0,200.0
18902861,14 Going on 30,English Language,United States of America,"['Romance Film', 'Fantasy Comedy', 'Fantasy', 'Comedy']",,6.3,340,0,0,196.0
1305819,C.H.U.D.,English Language,United States of America,"['Monster movie', 'Natural horror films', 'Science Fiction', 'B-movie', 'Creature Film', 'Cult', 'Drama', 'Horror', 'Slasher']",1984.0,5.6,12907,0,0,193.0
12142896,Emperor of the Bronx,English Language,United States of America,"['Crime Fiction', 'Action', 'Drama', 'Indie', 'Adventure']",1988.0,5.1,82,0,0,195.0
18524941,Nudist Colony of the Dead,English Language,United States of America,"['Musical', 'Horror', 'Comedy']",1991.0,4.0,828,0,0,197.0
180917,Valiant Is the Word for Carrie,English Language,United States of America,"['Melodrama', 'Drama', 'Black-and-white']",1936.0,6.3,216,0,0,200.0
33872851,The Lone Wolf Meets a Lady,Greek Language,United States of America,"['Crime Fiction', 'Detective fiction', 'Detective', 'Mystery', 'Drama', 'Comedy']",1940.0,6.4,353,0,0,198.0
2509881,Critters 3,English Language,United States of America,"['Science Fiction', 'Horror', 'Sci-Fi Horror', 'Creature Film', 'Horror Comedy', 'Black comedy']",1991.0,4.4,12301,0,0,198.0
12409066,Kasak,Hindi Language,India,"['Romantic drama', 'Drama', 'World cinema']",2005.0,6.3,44,0,0,195.0
23445121,No Impact Man: The Documentary,English Language,United States of America,"['Indie', 'Documentary']",2009.0,6.6,1564,0,0,198.0
16304395,Enemy Territory,English Language,United States of America,"['Crime Fiction', 'Crime Thriller', 'Action', 'Drama']",1987.0,6.2,862,0,0,194.0
336846,Grease,English Language,United States of America,"['Romantic comedy', 'LGBT', 'Musical', 'Comedy', 'Romance Film', 'Teen']",1978.0,1.0,9,0,2,198.0
27463222,Vanishing on 7th Street,English Language,United States of America,"['Thriller', 'Horror', 'Supernatural', 'Gothic Film', 'Mystery', 'Suspense', 'Disaster']",2010.0,4.9,26471,0,0,194.0
2316181,El derecho de nacer,Spanish Language,Mexico,"['Drama', 'World cinema']",1951.0,5.6,47,0,0,201.0
8366514,Susan and God,English Language,United States of America,"['Drama', 'Marriage Drama', 'Comedy-drama', 'Comedy', 'Black-and-white']",1940.0,5.9,1371,1,1,199.0
29146560,The Nut,English Language,United States of America,"['Romance Film', 'Comedy']",1921.0,6.5,273,0,0,201.0
5696825,The Dark Half,English Language,United States of America,"['Film adaptation', 'Horror', 'Psychological thriller', 'Supernatural']",1993.0,7.4,8,1,3,195.0
73842,Gertie the Dinosaur,English Language,United States of America,"['Short Film', 'Fantasy', 'Comedy', 'Black-and-white', 'Animation']",1914.0,7.1,3405,0,0,199.0
19389755,Asylum Seekers,English Language,United States of America,"['Parody', 'Thriller', 'Horror', 'Indie', 'Mystery', 'Comedy', 'Black comedy']",2009.0,4.4,1018,0,0,201.0
23066641,Rhodes of Africa,English Language,United Kingdom,"['Period piece', 'Biography', 'Drama']",1936.0,5.7,212,0,0,198.0
6471697,Ajooba,Hindi Language,India,"['Fantasy', 'Adventure', 'Bollywood']",1991.0,5.1,1336,0,0,193.0
3681139,Necessary Roughness,English Language,United States of America,"['Sports', 'Comedy']",1991.0,6.1,12309,0,1,200.0
11013589,Der Mann im Pyjama,German Language,West Germany,['Comedy'],1981.0,6.6,48,0,0,199.0
21618909,Barah Aana,Hindi Language,India,"['Crime Fiction', 'Drama', 'Comedy']",2009.0,6.7,1258,0,0,200.0
26624119,Beyond the Time Barrier,English Language,United States of America,"['Science Fiction', 'Time travel']",1960.0,5.3,1704,0,0,191.0
2546429,Friday the 13th: The Final Chapter,English Language,United States of America,"['Cult', 'Horror', 'Slasher', 'Teen']",1984.0,6.0,53298,0,0,198.0
24416479,Beastmaster 2: Through the Portal of Time,English Language,United States of America,"['Sword and sorcery', 'Science Fiction', 'Action', 'Fantasy', 'Adventure']",1991.0,4.1,3382,0,0,200.0
24053482,Daughters,English Language,United States of America,['Drama'],1997.0,6.6,181,0,1,191.0
34530005,I Will Repay,English Language,United States of America,"['Silent film', 'Drama', 'Adventure', 'Historical drama']",1923.0,3.8,20,0,0,200.0
1033297,Resident Evil,English Language,United States of America,"['Thriller', 'Science Fiction', 'Horror', 'Adventure', 'Doomsday film', 'Sci-Fi Horror', 'Creature Film', 'Plague', 'Zombie Film', 'Action']",2002.0,4.0,40269,0,0,198.0
7235116,Someone to Watch Over Me,English Language,United States of America,"['Crime Fiction', 'Thriller', 'Mystery', 'Drama', 'Suspense', 'Crime Thriller', 'Romantic drama']",1987.0,6.1,10700,0,0,197.0
13723442,"Mabel, Fatty and the Law",Silent film,United States of America,"['Silent film', 'Indie', 'Black-and-white', 'Short Film', 'Comedy', 'Slapstick']",1915.0,5.1,222,0,0,200.0
24862266,Monsters Crash the Pajama Party,English Language,United States of America,"['B-movie', 'Comedy film', 'Creature Film', 'Short Film', 'Zombie Film', 'Horror']",1965.0,4.8,320,0,0,199.0
2051395,The Hallelujah Trail,English Language,United States of America,"['Action/Adventure', 'Western', 'Satire', 'Comedy', 'Comedy Western']",1965.0,6.5,4068,1,2,199.0
24291753,The Careless Years,English Language,United States of America,"['Romantic drama', 'Romance Film', 'Drama', 'Musical']",1957.0,5.8,185,0,0,196.0
3865579,My Wild Irish Rose,English Language,United States of America,"['Biographical film', 'Musical']",1947.0,2.3,17,0,0,200.0
14558212,The Spanish Jade,Silent film,United Kingdom,"['Silent film', 'Drama', 'Indie', 'Black-and-white']",1922.0,6.9,40,0,0,198.0
9879162,Gritos en la noche,Spanish Language,France,"['Thriller', 'Horror']",1962.0,6.1,1615,0,0,196.0
35785312,Amador,Spanish Language,Spain,"['Drama', 'World cinema']",2010.0,6.3,59,0,0,199.0
20506905,Perrier's Bounty,English Language,Ireland,"['Thriller', 'Crime Fiction', 'Crime Comedy', 'Action/Adventure', 'Drama', 'Comedy', 'Crime Thriller', 'Action']",2010.0,6.3,6913,1,1,193.0
4058835,Boot Polish,Hindi Language,India,"['Musical', 'Drama', 'World cinema', 'Bollywood']",1954.0,8.2,206,0,0,198.0
2642180,Kadosh,Hebrew Language,France,"['World cinema', 'Family Drama', 'Drama', 'Romantic drama', 'Romance Film', 'Feminist Film']",1999.0,6.8,1827,0,0,194.0
14840648,The Tear That Burned,Silent film,United States of America,"['Short Film', 'Silent film', 'Drama', 'Indie', 'Black-and-white']",1914.0,7.0,40,0,0,195.0
2093270,The Gorgon,English Language,United Kingdom,"['Thriller', 'Gothic Film', 'Horror', 'Creature Film', 'Costume Horror']",1964.0,6.4,6187,0,0,200.0
9384481,Count Your Blessings,English Language,United States of America,"['Drama', 'Comedy']",1959.0,5.0,367,0,2,199.0
21752299,By Love Possessed,English Language,United States of America,"['Romantic drama', 'Romance Film', 'Melodrama', 'Drama', 'Film adaptation']",1961.0,5.5,599,1,4,198.0
8887199,The Angels Wash Their Faces,English Language,United States of America,"['Crime Fiction', 'Drama', 'Black-and-white', 'Juvenile Delinquency Film', 'Crime Drama']",1939.0,6.0,543,0,1,200.0
7582987,The Ghost of Slumber Mountain,English Language,United States of America,"['Short Film', 'Science Fiction', 'Silent film', 'Indie', 'Black-and-white']",,6.0,325,0,0,200.0
